제목,기사요약
[이슈톡] 강아지 등에 올라탄 아기 '코알라' 화제,코알아" 입니다. 반려견 등에 올라타 엄마 껌딱지 마냥 떨어지지 않으려는 아기 코알라의 귀여운 동영상이 화제입니다. 강아지가 인형 배낭이라도 맨 건가요? 자세히 보면...
반려견 등에 엄마 껌딱지 마냥 들러붙은 아기 코알라 (영상),[서울신문 나우뉴스] 반려견 등에 올라타 엄마 껌딱지 마냥 떨어지지 않으려는 아기 코알라의 귀여운 동영상이 뉴스 시간에 보도되어 화제가 되고 있다. 호주 공중파 채널7...
[Pick] "우리 엄마 아니에요?"..강아지 '껌딱지'가 되어버린 새끼...,강아지 등에 올라탄 새끼 코알라의 '귀여운' 영상이 화제입니다. 현지 시간으로 지난 7일 영국 데일리 메일 등 외신들은 호주에 사는 헨리 씨의 반려견 토니를 촬영한 영상...
엄마로 착각해 등에 '착' 붙은 아기 코알라 보고 '동공지진' 온 ...,[인사이트] 장경윤 기자 = 자신을 붙잡고 절대 떨어지지 않는 코알라의 모습에 강아지는 말 그대로 '멘붕'에 빠지고 말았다.지난 7일(현지 시간) 호주 매체 7뉴스는 산책 중...
제주 씨에스호텔×코알라에코 온라인 예약시 3종 키트 증정,진행한다고 20일 밝혔다. 씨에스호텔은 이달 홈페이지 온라인 예약 고객에게 코알라에코 핸드워시 룸 스프레이 친환경세정제로 구성된 미니키트 3종을 제공한다. 선물은...
'이필모♥' 서수연 아들과 코알라로 변신 "잘 때 몰래 찍기",자신의 인스타그램에 "아기 천사랑 첫 스노우캠. 엄청 귀여워요. 잘 때 몰래 찍기. 코알라 담호. 고슴도치 맘"이라는 글과 함께 사진을 게재했다. 사진에서 서수연은 두 팔...
산불 다가오자 새끼 꼭 품어 보호한 어미 코알라의 모성애,9일(이하 현지시간) 호주 ABC뉴스 등 현지언론은 산불 속에서 새끼를 지켜낸 코알라가 절망 속에서 희망의 상징이 되고있다고 보도했다. 구조 당시 사진 한장으로 큰 울림을...
[클릭@지구촌] 화마 속에서 품속 새끼 지킨 어미 코알라 '감동',몸살을 앓고 있는 가운데 화마와 잿더미 속에서 목숨을 걸고 새끼를 지킨 어미 코알라의 사진이 큰 울림을 전하고 있습니다. 이 코알라 모자는 당국의 대피 명령까지...
'코알라 얼굴을 한 판다형 캥거루' 고대 지구에 살았다 (연구),캥거루의 복원도. Credit: Nobu Tamura 호주를 상징하는 동물이라고 하면 대부분 코알라와 캥거루를 떠올릴 것이다. 이들은 태반 포유류보다 원시적인 포유류인 유대류로...
입맛 까다로운 코알라엔 '똥이 약',유칼리나무에서 느긋하게 잠자는 코알라. 영양가 적고 독성이 큰 이 나무만 먹는 코알라는 소화를 하는 데 장내 미생물집단에 크게 의존한다. 게티이미지뱅크 2013년...
충북도교육연구정보원 코알라와 함께하는 소프트웨어교실 운영,교육연구정보원(원장 정광규)이 28일 충북도교육연구정보원에서 SW교사연합연구회(코알라)와 함께하는 소프트웨어교실을 열었다. 도교육연구정보원이 지원하는 SW교사연합...
불타버린 숲에서 아기 지키기 위해 꼭 껴안고 있는 엄마 코알라,[노트펫]엄마 코알라는 산불로부터 자신의 아기를 지키기 위해 품에 꼭 껴안은 채 가만히 있었다. 지난 9일(현지 시간) 호주 매체 나인뉴스는 산불 지역에서 극적으로 구조...
'산불'로 다 타버린 보금자리에서 아기 꼭 끌어안고 흐느낀 어미 ...,호주 매체 야후뉴스는 산불로 보금자리를 모두 잃어버린 채 죽음만을 기다리던 코알라 가족이 무사히 구조됐다는 소식을 전했다.호주 퀸즐랜드주 전역에서는 최근 도시와...
보물섬투어·아시아나항공 겨울 호주여행 '멜버른 직항'으로 떠...,전통적인 호주 목장 생활과 양몰이 쇼 등을 볼 수 있다. 여기에 승마 우유 짜기 코알라 안고 사진 찍기 등 직접 체험할 수 있는 다양한 기회가 제공된다.'블루마운틴 국립...
곰처럼 귀여운 ‘코알라(koala)’ [김권제 칼럼],[미디어파인 칼럼=김권제의 생활어원 및 상식] 코알라(koala)는 호주에 서식하는 초식성 유대류로 코알라과(Phascolarctidae)에 속하는 유일한 종으로 학명은...
멜라루카 어린이를 위한 '코알라팔스 홍삼젤리' 출시,인터내셔날 코리아㈜(대표 박은숙 이하 멜라루카)’가 어린이를 위한 홍삼 젤리 ‘코알라팔스 홍삼젤리’를 출시했다고 18일 밝혔다. 국민 건강기능식품으로 알려진 홍삼은...
'코딩좀알려주라' '코알라 유니브 2기' 모집,기관 ‘코딩좀알려주라’가 대학생을 위한 무료 데이터 사이언스 교육 프로그램 ‘코알라 유니브(UNIV)’ 2기 수강생을 모집한다고 16일 밝혔다.'코알라 유니브'는 ICT에...
리미떼두두 증정 상품 코알라 자수 퍼 에코백 보니 '귀여움 가득',투데이 박세영 기자 =리미떼두두에서 가을 신상 2차 프리오더를 진행한 가운데 코알라 에코백을 증정한다. 리미떼두두는 21일 오전 11시부터 22일 오전 11시까지 하루 동안...
[티티엘 TV] 젯스타(JQ Jetstar) 호주 골드코스트 취항 기대감 높아,파라다이스 해변 골드코스트 전경을 한눈에 담을 수 있는 스카이 포인트 전망대 코알라 등 다양한 호주 야생동물을 만날 수 있는 커럼빈 와일드라이프 생추어리 드림월드...
'산호초의 천국' 퀸즐랜드는 처음이지?,케언스의 산호초 군락과는 또 다른 장관을 연출했다. 아찔한 다리가 걸린 산과 코알라 등 다양한 동물 커럼빈 야생 동물 공원에서 펼쳐지는 원주민의 춤공연. 퀸즐랜드...
어린이 건기식 '세노비스 키즈' 영양·맛·재미 모두 잡아,빈틈없이 챙길 수 있는 것이 특징이다. 특히 세노비스 키즈는 호주의 대표 동물 코알라를 모티브로 탄생한 캐릭터 ‘코비’를 새롭게 선보였다. 아이들의 눈높이에 맞춰...
[메트로 트래블] 젯스타·제주항공 코드쉐어 인천-골드코스트 12...,시작으로 골드코스트 전경을 한눈에 담을 수 있는 스카이 포인트 전망대 코알라를 안아보고 다양한 호주 야생동물을 만날 수 있는 커럼빈 와일드라이프 생츄리 아이와...
